t,latencyMs
1782908970763,4
1782908971266,3
1782908971769,2
1782908972271,2
1782908972774,3
1782908973282,3
1782908973786,3
1782908974291,4
1782908974796,4
1782908975299,2
1782908975802,2
1782908976306,3
1782908976810,3
1782908977488,173
1782908977992,4
1782908978494,2
1782908978997,2
1782908979501,3
1782908980004,2
1782908980505,2
1782908981007,1
1782908981511,2
1782908982015,3
1782908982518,3
1782908983023,4
1782908983526,2
1782908984029,3
1782908984530,1
1782908985032,2
1782908985535,2
1782908986041,5
1782908986547,4
1782908987050,2
1782908987553,2
1782908988058,5
1782908988561,2
1782908989066,4
1782908989570,4
1782908990073,2
1782908990576,2
1782908991079,2
1782908991584,4
1782908992089,4
1782908992592,2
1782908993095,2
1782908993597,1
1782908994101,4
1782908994607,5
1782908995111,3
1782908995613,1
1782908996117,2
1782908996620,2
1782908997123,2
1782908997625,2
1782908998130,3
1782908998635,3
1782908999138,2
1782908999639,1
1782909000141,2
1782909000644,1
1782909001150,4
1782909001654,3
1782909002157,3
1782909002660,2
1782909003163,3
1782909003665,1
1782909004169,3
1782909004672,2
1782909005176,2
1782909005678,2
1782909006181,2
1782909006684,2
1782909007188,3
1782909007691,2
1782909008194,2
1782909008696,2
1782909009200,4
1782909009704,3
1782909010207,2
1782909010711,2
1782909011213,2
1782909011717,3
1782909012220,3
1782909012723,2
1782909013227,3
1782909013733,4
1782909014234,2
1782909014737,3
1782909015240,2
1782909015743,2
1782909016246,3
1782909016751,3
1782909017254,2
1782909017759,4
1782909018263,4
1782909018769,5
1782909019273,4
1782909019775,1
1782909020278,2
1782909020780,2
1782909021282,2
1782909021784,1
1782909022286,2
1782909022791,3
1782909023294,2
1782909023797,3
1782909024302,3
1782909024807,4
1782909025311,3
1782909025814,2
1782909026317,2
1782909026823,5
1782909027327,3
1782909027832,4
1782909028336,4
1782909028838,1
1782909029342,2
1782909029846,3
1782909030349,3
1782909030853,3
1782909031357,3
1782909031860,1
1782909032363,2
1782909032868,4
1782909033372,3
1782909033876,4
1782909034379,3
1782909034883,3
1782909035385,1
