t,latencyMs
1782909284750,3
1782909285252,2
1782909285756,4
1782909286260,3
1782909286766,5
1782909287269,2
1782909287773,3
1782909288277,3
1782909288781,3
1782909289283,1
1782909289787,4
1782909290288,1
1782909290792,2
1782909291296,3
1782909291801,4
1782909292305,4
1782909292808,3
1782909293310,1
1782909293813,2
1782909294315,1
1782909294818,3
1782909295321,2
1782909295824,2
1782909296326,2
1782909296829,2
1782909297333,3
1782909297837,3
1782909298341,3
1782909298846,4
1782909299350,3
1782909299854,3
1782909300357,2
1782909300860,2
1782909301361,1
1782909301865,3
1782909302368,2
1782909302872,3
1782909303377,3
1782909303880,3
1782909304383,2
1782909304885,2
1782909305387,1
1782909305891,3
1782909306395,3
1782909306899,3
1782909307402,1
1782909307906,3
1782909308409,2
1782909308912,2
1782909309415,2
1782909309917,2
1782909310419,1
1782909310922,3
1782909311425,2
