t,ready,unacked,depth
1782909284759,0,0,0
1782909285263,0,0,0
1782909285771,0,0,0
1782909286277,0,0,0
1782909286783,0,0,0
1782909287289,0,0,0
1782909287796,0,0,0
1782909288303,0,0,0
1782909288810,0,0,0
1782909289315,0,0,0
1782909289821,0,0,0
1782909290325,0,0,0
1782909290831,26,3,29
1782909291337,26,3,29
1782909291845,26,3,29
1782909292351,26,3,29
1782909292858,26,3,29
1782909293363,26,3,29
1782909293868,26,3,29
1782909294371,26,3,29
1782909294877,26,3,29
1782909295381,26,3,29
1782909295885,21,3,24
1782909296389,21,3,24
1782909296893,21,3,24
1782909297399,21,3,24
1782909297904,21,3,24
1782909298411,21,3,24
1782909298917,21,3,24
1782909299421,21,3,24
1782909299925,21,3,24
1782909300429,21,3,24
1782909300936,15,3,18
1782909301442,15,3,18
1782909301951,15,3,18
1782909302455,15,3,18
1782909302962,15,3,18
1782909303469,15,3,18
1782909303977,15,3,18
1782909304484,15,3,18
1782909304988,15,3,18
1782909305492,15,3,18
1782909306001,8,3,11
1782909306508,8,3,11
1782909307015,8,3,11
1782909307522,8,3,11
1782909308028,8,3,11
1782909308532,8,3,11
1782909309039,8,3,11
1782909309543,8,3,11
1782909310046,8,3,11
1782909310551,8,3,11
1782909311055,8,3,11
1782909311558,8,3,11
