t,latencyMs
1782909505961,4
1782909506465,4
1782909506968,2
1782909507471,3
1782909507973,3
1782909508476,2
1782909508979,2
1782909509481,2
1782909509985,3
1782909510489,3
1782909510992,3
1782909511496,2
1782909511998,1
1782909512500,2
1782909513005,5
1782909513508,3
1782909514012,2
1782909514516,3
1782909515018,1
1782909515523,3
1782909516026,2
1782909516529,3
1782909517032,1
1782909517534,1
1782909518036,1
1782909518539,2
1782909519042,2
1782909519545,2
1782909520047,1
1782909520551,4
1782909521053,1
1782909521556,2
1782909522059,2
1782909522562,2
1782909523066,3
1782909523570,3
1782909524074,2
1782909524575,1
1782909525077,1
1782909525580,2
1782909526084,2
1782909526586,2
1782909527088,2
1782909527590,1
1782909528093,2
1782909528595,2
1782909529098,2
1782909529602,2
1782909530104,2
1782909530607,2
1782909531110,2
1782909531614,3
1782909532115,1
1782909532620,4
1782909533123,1
1782909533627,3
1782909534130,2
1782909534633,3
1782909535136,1
1782909535640,3
1782909536143,1
1782909536645,1
1782909537149,2
1782909537652,2
1782909538155,2
1782909538659,2
1782909539161,2
1782909539666,3
1782909540169,1
1782909540674,4
1782909541176,1
1782909541682,4
1782909542185,1
1782909542690,3
1782909543192,2
1782909543694,1
1782909544197,3
1782909544700,3
1782909545203,1
1782909545707,3
1782909546212,3
1782909546716,3
1782909547221,4
1782909547724,3
1782909548226,1
1782909548729,2
1782909549232,2
1782909549735,3
1782909550238,2
1782909550742,3
1782909551244,1
1782909551749,3
1782909552252,3
1782909552755,3
1782909553260,3
1782909553763,3
1782909554266,1
1782909554769,2
1782909555272,2
1782909555777,3
1782909556282,4
1782909556784,2
1782909557287,2
1782909557789,2
1782909558294,3
1782909558797,3
1782909559299,1
1782909559803,2
1782909560306,2
1782909560808,2
1782909561311,2
1782909561816,3
1782909562320,3
1782909562822,2
1782909563325,1
1782909563830,3
1782909564334,3
1782909564837,1
1782909565340,1
1782909565843,2
1782909566347,3
1782909566852,3
1782909567356,3
1782909567859,2
1782909568363,3
1782909568865,1
1782909569370,3
1782909569873,2
1782909570377,3
1782909570881,3
1782909571384,2
1782909571888,3
1782909572390,1
1782909572894,2
1782909573397,3
1782909573901,3
1782909574406,3
1782909574909,2
1782909575410,1
1782909575915,4
1782909576419,3
1782909576923,2
1782909577427,2
1782909577931,3
1782909578433,1
1782909578937,3
1782909579440,2
1782909579943,3
1782909580446,2
1782909580949,2
1782909581451,1
1782909581956,3
1782909582459,1
1782909582963,3
1782909583467,2
1782909583969,2
1782909584471,2
1782909584973,1
1782909585477,3
1782909585980,1
1782909586482,1
1782909586984,2
1782909587488,2
1782909587991,3
1782909588493,1
1782909588996,3
1782909589498,2
1782909590001,2
1782909590502,2
1782909591003,1
1782909591507,2
1782909592009,2
1782909592513,3
1782909593015,2
1782909593516,1
1782909594019,2
1782909594522,2
1782909595025,2
1782909595528,2
1782909596030,2
1782909596533,2
1782909597036,2
1782909597539,2
1782909598043,3
1782909598545,2
1782909599075,30
1782909599579,2
1782909600082,3
1782909600586,2
1782909601090,3
1782909601593,1
1782909602096,2
1782909602598,2
1782909603101,2
1782909603604,3
1782909604107,2
1782909604610,2
1782909605113,2
1782909605616,2
1782909606119,2
1782909606623,3
1782909607125,0
1782909607629,2
1782909608131,2
1782909608634,2
1782909609139,3
1782909609652,13
1782909610155,2
1782909610661,4
1782909611163,2
1782909611667,3
1782909612170,2
1782909612672,2
1782909613176,3
1782909613680,3
1782909614181,1
1782909614686,3
1782909615188,1
1782909615808,75
1782909616310,1
1782909616813,1
1782909617317,2
1782909617821,3
1782909618325,3
1782909618829,3
1782909619332,2
1782909619836,3
1782909620340,2
1782909620857,16
1782909621364,7
1782909621869,4
1782909622372,3
1782909622877,4
1782909623378,1
1782909623881,3
1782909624384,2
1782909624887,2
1782909625392,3
1782909625895,3
1782909626397,1
1782909626901,3
1782909627405,3
1782909627909,2
1782909628412,2
1782909628915,2
1782909629415,1
1782909629917,1
1782909630422,4
1782909630926,3
1782909631429,3
1782909631933,3
1782909632436,2
1782909632939,3
1782909633441,2
1782909633942,1
1782909634447,4
1782909634948,2
1782909635450,1
1782909635954,3
1782909636458,2
1782909636961,3
1782909637464,3
1782909637968,3
1782909638470,1
1782909638973,3
1782909639476,3
1782909639979,2
1782909640480,1
1782909640984,3
1782909641487,3
1782909641989,2
1782909642512,21
1782909643013,1
1782909643516,3
1782909644019,2
1782909644521,1
1782909645024,1
1782909645527,2
1782909646031,4
1782909646534,2
1782909647038,3
1782909647540,2
1782909648044,3
1782909648549,4
1782909649052,2
1782909649556,3
1782909650059,1
1782909650561,1
1782909651065,3
1782909651568,2
1782909652073,4
1782909652575,2
1782909653078,2
1782909653581,2
1782909654085,4
1782909654588,3
1782909655089,1
1782909655592,2
1782909656094,2
1782909656598,3
1782909657103,3
1782909657606,2
1782909658109,2
1782909658612,2
1782909659115,2
1782909659619,3
1782909660122,1
1782909660625,1
1782909661129,2
1782909661632,2
1782909662135,2
1782909662640,4
1782909663143,3
1782909663647,3
1782909664150,2
1782909664654,3
1782909665157,2
1782909665659,1
1782909666162,1
1782909666665,2
1782909667168,2
1782909667673,3
1782909668177,2
1782909668680,3
1782909669183,2
1782909669686,2
1782909670190,3
1782909670693,3
1782909671196,2
1782909671699,2
1782909672208,8
1782909672712,2
1782909673215,2
1782909673718,2
1782909674219,1
1782909674722,2
1782909675226,3
1782909675730,3
1782909676236,5
1782909676737,1
1782909677240,2
1782909677744,4
1782909678246,2
1782909678749,2
1782909679251,2
1782909679755,4
1782909680257,2
1782909680760,3
1782909681264,3
1782909681766,1
1782909682274,7
1782909682777,1
1782909683281,3
1782909683785,3
1782909684287,1
1782909684791,2
1782909685293,1
1782909685796,2
1782909686300,2
1782909686802,1
1782909687305,2
