t,ready,unacked,depth
1782909780302,0,0,0
1782909780811,0,0,0
1782909781316,0,0,0
1782909781822,0,0,0
1782909782325,0,0,0
1782909782830,0,0,0
1782909783333,0,0,0
1782909783842,0,0,0
1782909784349,0,0,0
1782909784856,0,0,0
1782909785360,0,0,0
1782909785863,0,0,0
1782909786371,8,3,11
1782909786877,8,3,11
1782909787383,8,3,11
1782909787886,8,3,11
1782909788391,8,3,11
1782909788899,8,3,11
1782909789406,8,3,11
1782909789912,8,3,11
1782909790421,8,3,11
1782909790929,2,3,5
1782909791434,2,3,5
1782909791940,2,3,5
1782909792447,2,3,5
1782909792952,2,3,5
1782909793458,2,3,5
1782909793963,2,3,5
1782909794469,2,3,5
1782909794973,2,3,5
1782909795477,2,3,5
